inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,14.071067811865476,14.192388155425117,14.31370849898476,15.435028842544401,17.9350288425444,19.64213562373095,20.9350288425444,22.4350288425444,24.106601717798213,25.106601717798213,26.106601717798213,27.106601717798213,28.606601717798213,30.727922061357855,33.47056274847714,33.3492424049175,33.76345596729059,34.76345596729059,35.76345596729059,37.26345596729059,inf
inf,11.571067811865476,12.192388155425117,13.692388155425117,15.192388155425117,17.192388155425117,19.192388155425117,21.192388155425117,22.692388155425117,23.692388155425117,24.692388155425117,inf,27.52081528017131,29.02081528017131,31.02081528017131,31.67766952966369,32.3492424049175,33.3492424049175,34.3492424049175,35.8492424049175,36.3492424049175,inf
inf,10.071067811865476,11.192388155425117,15.692388155425117,15.435028842544401,17.4350288425444,19.9350288425444,21.64213562373095,22.9350288425444,24.106601717798213,25.106601717798213,inf,28.52081528017131,28.935028842544405,29.935028842544405,30.935028842544405,31.935028842544405,32.935028842544405,33.935028842544405,34.935028842544405,35.935028842544405,inf
inf,9.071067811865476,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,32.3492424049175,33.3492424049175,34.8492424049175,35.3492424049175,36.3492424049175,inf
inf,8.449747468305834,6.949747468305833,5.82842712474619,5.414213562373095,5.82842712474619,inf,7.742640687119285,7.65685424949238,8.65685424949238,9.65685424949238,inf,inf,inf,inf,inf,33.3492424049175,33.76345596729059,35.26345596729059,37.3492424049175,37.79898987322333,inf
inf,9.071067811865476,inf,4.82842712474619,4.414213562373095,5.535533905932738,inf,6.242640687119285,6.65685424949238,7.65685424949238,8.65685424949238,inf,inf,inf,inf,inf,34.3492424049175,35.26345596729059,35.17766952966368,36.17766952966368,37.67766952966368,inf
inf,inf,inf,4.535533905932738,3.414213562373095,inf,inf,5.242640687119285,6.242640687119285,7.242640687119285,8.242640687119284,inf,38.76345596729059,37.76345596729059,36.76345596729059,35.76345596729059,35.3492424049175,35.76345596729059,36.67766952966368,36.591883092036774,37.591883092036774,inf
inf,5.121320343559643,inf,3.5,2.414213562373095,3.5355339059327378,3.82842712474619,inf,inf,inf,inf,inf,39.17766952966368,38.17766952966368,37.17766952966368,36.76345596729059,36.3492424049175,36.76345596729059,37.17766952966368,38.17766952966368,39.17766952966368,inf
inf,3.121320343559643,2.121320343559643,1.5,1.4142135623730951,2.414213562373095,3.414213562373095,inf,inf,inf,inf,inf,40.17766952966368,39.17766952966368,38.67766952966368,38.26345596729059,37.3492424049175,38.26345596729059,38.67766952966368,38.591883092036774,39.506096654409866,inf
inf,2.0,1.0,0,1.0,2.0,3.5,inf,inf,inf,inf,inf,41.17766952966368,40.091883092036774,40.67766952966368,39.798989873223334,38.3492424049175,39.798989873223334,40.67766952966368,40.591883092036774,41.04163056034261,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
